unrivaled_name,wnba_name,wnba_id,match_score,method
Chelsea Gray,Chelsea Gray,203833,100,Fuzzy
Marina Mabrey,Marina Mabrey,1629497,100,Fuzzy
Paige Bueckers,Paige Bueckers,1642784,100,Fuzzy
Allisha Gray,Allisha Gray,1628277,100,Fuzzy
Aaliyah Edwards,Aaliyah Edwards,1642290,100,Fuzzy
Kelsey Plum,Kelsey Plum,1628276,100,Fuzzy
Breanna Stewart,Breanna Stewart,1627668,100,Fuzzy
Aliyah Boston,Aliyah Boston,1641648,100,Fuzzy
Brittney Sykes,Brittney Sykes,1628279,100,Fuzzy
Kahleah Copper,Kahleah Copper,1627674,100,Fuzzy
Kelsey Mitchell,Kelsey Mitchell,1628909,100,Fuzzy
Rhyne Howard,Rhyne Howard,1631009,100,Fuzzy
Dearica Hamby,Dearica Hamby,204324,100,Fuzzy
Jackie Young,Jackie Young,1629498,100,Fuzzy
Dominique Malonga,Dominique Malonga,1642798,100,Fuzzy
Shakira Austin,Shakira Austin,1631022,100,Fuzzy
Rickea Jackson,Rickea Jackson,1642288,100,Fuzzy
Aziaha James,Aziaha James,1642793,100,Fuzzy
Skylar Diggins,Skylar Diggins,203400,100,Fuzzy
Sonia Citron,Sonia Citron,1642785,100,Fuzzy
Arike Ogunbowale,Arike Ogunbowale,1629481,100,Fuzzy
Monique Billings,Monique Billings,1628881,100,Fuzzy
Rae Burrell,Rae Burrell,1630996,100,Fuzzy
Kiki Iriafen,Kiki Iriafen,1642792,100,Fuzzy
Alyssa Thomas,Alyssa Thomas,203826,100,Fuzzy
Tiffany Hayes,Tiffany Hayes,203026,100,Fuzzy
Angel Reese,Angel Reese,1642291,100,Fuzzy
Cameron Brink,Cameron Brink,1642287,100,Fuzzy
Azurá Stevens,Azurá Stevens,1628922,100,Fuzzy
Erica Wheeler,Erica Wheeler,204365,100,Fuzzy
Veronica Burton,Veronica Burton,1631007,100,Fuzzy
Natasha Cloud,Natasha Cloud,204333,100,Fuzzy
Brittney Griner,Brittney Griner,203398,100,Fuzzy
Naz Hillmon,Naz Hillmon,1631044,100,Fuzzy
Maddy Siegrist,Maddy Siegrist,1641652,100,Fuzzy
Courtney Williams,Courtney Williams,1627675,100,Fuzzy
Ezi Magbegor,Ezi Magbegor,1629496,100,Fuzzy
Jordin Canada,Jordin Canada,1628886,100,Fuzzy
Alanna Smith,Alanna Smith,1629501,100,Fuzzy
Temi Fágbénlé,Temi Fágbénlé,1627701,100,Fuzzy
Natisha Hiedeman,Natisha Hiedeman,1629567,100,Fuzzy
Kiana Williams,Kiana Williams,1630461,100,Fuzzy
Kate Martin,Kate Martin,1642324,100,Fuzzy
Saniya Rivers,Saniya Rivers,1642809,100,Fuzzy
Dana Evans,Dana Evans,1630389,100,Fuzzy
Haley Jones,Haley Jones,1641650,100,Fuzzy
Li Yueru,Li Yueru,1629574,100,Fuzzy
Sug Sutton,Sug Sutton,1630134,100,Fuzzy
Rachel Banham,Rachel Banham,1627671,100,Fuzzy
Lexie Hull,Lexie Hull,1631086,100,Fuzzy
Rebecca Allen,Rebecca Allen,204296,100,Fuzzy
Aari McDonald,Aari McDonald,1630462,100,Fuzzy
