RK,player_name,games_played,MIN,PTS,FGM,FGA,FG%,FG3M,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TOV,PF,scraped_at,season_id
1,Chelsea Gray,13,22.4,25.4,9.1,17.8,51.1,3.6,7.5,48.0,1.8,1.9,92.0,0.8,5.1,5.8,6.3,1.3,0.5,2.8,2.5,2026-02-25T13:50:31.516465,2025
2,Marina Mabrey,12,19.8,24.7,9.2,21.3,43.1,3.5,10.6,33.1,1.8,2.2,80.8,1.0,5.8,6.8,5.1,0.8,0.2,3.4,3.5,2026-02-25T13:50:31.516465,2025
3,Paige Bueckers,13,19.6,23.7,8.9,16.8,53.0,1.5,3.8,38.0,2.8,3.0,92.3,0.5,5.9,6.4,5.8,0.8,0.6,2.5,3.2,2026-02-25T13:50:31.516465,2025
4,Allisha Gray,13,15.7,21.8,7.5,15.4,49.0,2.6,6.6,39.5,2.2,2.5,87.5,1.0,3.7,4.7,2.8,1.0,0.6,1.5,1.8,2026-02-25T13:50:31.516465,2025
5,Aaliyah Edwards,11,18.6,21.7,9.0,15.6,57.6,0.1,0.4,25.0,2.1,3.1,67.6,3.8,8.7,12.5,1.7,0.7,0.5,3.4,3.5,2026-02-25T13:50:31.516465,2025
6,Kelsey Plum,13,18.5,21.7,8.2,16.7,49.3,2.5,6.5,38.8,1.6,1.8,91.3,0.8,4.1,4.8,5.2,0.4,0.1,1.6,3.2,2026-02-25T13:50:31.516465,2025
7,Breanna Stewart,13,17.0,20.9,7.6,15.2,50.0,1.2,3.8,30.6,2.5,2.8,89.2,1.3,8.0,9.3,3.0,0.8,0.6,1.7,1.9,2026-02-25T13:50:31.516465,2025
8,Aliyah Boston,13,18.0,20.0,8.3,14.8,56.0,1.2,3.3,34.9,1.2,1.5,80.0,1.9,8.2,10.1,2.5,1.0,2.2,1.4,3.1,2026-02-25T13:50:31.516465,2025
9,Brittney Sykes,13,16.5,19.9,7.4,15.1,49.0,2.2,5.3,40.6,1.6,2.1,77.8,0.5,3.7,4.2,2.1,1.6,0.3,2.0,3.2,2026-02-25T13:50:31.516465,2025
10,Kahleah Copper,10,17.8,19.3,7.5,15.8,47.5,2.0,5.4,37.0,1.2,1.7,70.6,0.7,3.7,4.4,0.9,0.1,0.3,1.0,3.8,2026-02-25T13:50:31.516465,2025
11,Kelsey Mitchell,13,17.9,17.6,7.3,14.4,50.8,1.9,5.1,37.9,0.6,1.1,57.1,0.5,2.2,2.7,2.4,1.0,0.2,1.1,2.5,2026-02-25T13:50:31.516465,2025
12,Rhyne Howard,12,20.5,17.2,5.8,14.6,40.0,2.9,7.9,36.8,1.5,1.8,85.7,0.5,4.3,4.8,3.1,1.4,1.0,1.4,2.5,2026-02-25T13:50:31.516465,2025
13,Dearica Hamby,13,14.8,17.0,6.9,12.8,54.2,0.2,1.4,16.7,1.6,2.7,60.0,1.6,6.4,8.0,1.1,1.1,0.0,1.0,3.1,2026-02-25T13:50:31.516465,2025
14,Jackie Young,13,15.8,16.8,6.2,13.8,45.3,1.7,5.2,32.4,1.5,1.7,90.9,0.9,2.6,3.5,3.5,0.6,0.2,1.5,2.2,2026-02-25T13:50:31.516465,2025
15,Dominique Malonga,13,14.2,16.1,6.8,12.4,54.7,0.4,1.4,27.8,1.2,1.5,84.2,2.2,7.2,9.4,1.0,0.5,1.0,2.0,2.5,2026-02-25T13:50:31.516465,2025
16,Shakira Austin,13,16.2,15.9,6.4,11.3,56.5,0.0,0.5,0.0,1.9,2.8,67.6,1.5,7.0,8.5,1.2,0.3,1.0,1.7,2.5,2026-02-25T13:50:31.516465,2025
17,Rickea Jackson,11,18.6,15.7,5.9,14.2,41.7,1.5,4.0,36.4,1.3,1.5,82.4,0.9,5.2,6.1,3.0,0.7,0.3,1.6,2.2,2026-02-25T13:50:31.516465,2025
18,Aziaha James,2,15.5,15.5,6.0,12.5,48.0,3.0,7.0,42.9,0.5,1.0,50.0,1.0,2.5,3.5,4.0,2.0,0.5,2.0,1.5,2026-02-25T13:50:31.516465,2025
19,Skylar Diggins,10,16.7,15.4,5.0,13.8,36.2,0.9,4.3,20.9,2.5,2.8,89.3,1.1,2.2,3.3,4.3,1.3,0.9,1.8,3.1,2026-02-25T13:50:31.516465,2025
20,Sonia Citron,13,16.8,15.2,5.9,12.9,45.8,0.9,4.3,21.4,1.2,1.4,88.9,0.5,3.6,4.1,3.1,0.9,0.9,1.3,3.0,2026-02-25T13:50:31.516465,2025
21,Arike Ogunbowale,13,13.0,14.6,5.5,13.0,42.0,1.9,5.5,34.7,0.9,1.2,80.0,0.8,2.3,3.1,2.4,1.3,0.1,1.6,2.3,2026-02-25T13:50:31.516465,2025
22,Monique Billings,13,13.7,14.1,5.2,11.2,46.6,0.5,1.4,38.9,1.6,1.9,84.0,2.2,8.4,10.5,1.3,0.8,0.5,1.5,2.6,2026-02-25T13:50:31.516465,2025
23,Rae Burrell,13,11.7,12.0,4.2,9.4,44.3,1.1,2.8,38.9,1.4,1.6,85.7,0.9,2.7,3.6,1.8,1.0,0.3,1.1,1.7,2026-02-25T13:50:31.516465,2025
24,Kiki Iriafen,13,10.2,11.8,4.6,9.8,47.2,0.2,1.0,15.4,1.2,2.2,55.2,1.8,2.9,4.7,0.7,0.5,0.1,1.4,2.7,2026-02-25T13:50:31.516465,2025
25,Alyssa Thomas,13,14.9,11.7,5.3,8.2,65.1,0.0,0.0,0.0,0.6,1.0,61.5,1.3,6.8,8.2,3.5,0.8,0.2,1.5,1.8,2026-02-25T13:50:31.516465,2025
26,Tiffany Hayes,12,11.9,11.5,4.1,8.8,46.7,1.5,4.3,34.6,1.0,1.0,100.0,0.8,2.3,3.0,2.4,1.0,0.3,0.7,2.3,2026-02-25T13:50:31.516465,2025
27,Angel Reese,2,14.0,11.0,5.0,9.0,55.6,0.0,0.0,0.0,1.0,2.0,50.0,4.5,7.0,11.5,2.5,0.5,1.0,2.0,4.0,2026-02-25T13:50:31.516465,2025
28,Cameron Brink,12,11.8,10.9,3.9,7.6,51.6,0.8,2.4,31.0,1.2,1.8,63.6,1.4,4.6,6.0,1.0,0.3,1.8,1.8,3.3,2026-02-25T13:50:31.516465,2025
29,Azurá Stevens,10,10.6,10.8,4.0,9.7,41.2,1.3,3.7,35.1,0.9,0.9,100.0,1.5,5.0,6.5,1.5,0.3,0.3,0.6,1.5,2026-02-25T13:50:31.516465,2025
30,Erica Wheeler,13,11.3,9.6,3.8,8.4,45.9,1.2,2.9,42.1,0.4,0.5,83.3,0.5,2.5,3.1,2.5,0.7,0.0,1.1,2.5,2026-02-25T13:50:31.516465,2025
31,Veronica Burton,13,15.0,9.3,3.2,8.2,38.7,1.0,3.4,29.5,1.2,1.5,75.0,1.8,3.4,5.2,4.4,1.8,0.5,0.5,2.5,2026-02-25T13:50:31.516465,2025
32,Natasha Cloud,13,15.9,9.0,3.2,7.8,41.6,1.6,4.2,38.9,0.5,0.5,85.7,0.4,4.0,4.4,3.9,0.6,0.2,1.2,2.8,2026-02-25T13:50:31.516465,2025
33,Brittney Griner,12,8.2,8.8,3.3,5.3,62.5,0.0,0.1,0.0,1.2,1.4,82.4,1.0,3.3,4.3,0.3,0.2,1.1,1.3,1.3,2026-02-25T13:50:31.516465,2025
34,Naz Hillmon,13,11.9,8.4,3.0,7.3,41.1,0.8,3.5,21.7,0.8,1.4,61.1,1.8,5.2,6.9,1.2,0.8,0.3,1.1,1.8,2026-02-25T13:50:31.516465,2025
35,Maddy Siegrist,12,8.6,8.3,3.5,7.3,48.3,0.8,2.4,34.5,0.3,0.7,37.5,1.0,2.1,3.1,0.3,0.5,0.0,0.8,1.8,2026-02-25T13:50:31.516465,2025
36,Courtney Williams,13,12.1,8.0,3.6,8.2,43.9,0.5,1.4,33.3,0.2,0.3,50.0,0.5,4.1,4.5,4.2,0.7,0.1,1.3,2.2,2026-02-25T13:50:31.516465,2025
37,Ezi Magbegor,10,10.3,7.9,3.6,6.9,52.2,0.3,1.4,21.4,0.3,0.4,75.0,0.8,4.5,5.3,1.1,0.4,0.8,1.3,2.7,2026-02-25T13:50:31.516465,2025
38,Jordin Canada,11,9.1,7.3,2.5,7.7,32.9,0.6,2.4,26.9,0.8,1.1,75.0,0.4,3.3,3.6,3.0,1.0,0.3,0.6,2.3,2026-02-25T13:50:31.516465,2025
39,Alanna Smith,13,8.3,7.2,3.2,5.7,55.4,0.3,1.5,21.1,0.3,0.7,44.4,1.2,3.8,4.9,0.8,0.5,0.5,1.2,2.3,2026-02-25T13:50:31.516465,2025
40,Temi Fágbénlé,13,8.5,6.2,2.6,4.6,56.7,0.3,0.8,36.4,0.3,0.6,50.0,1.4,3.0,4.4,0.6,0.5,0.3,0.8,1.9,2026-02-25T13:50:31.516465,2025
41,Natisha Hiedeman,12,8.1,6.1,2.3,6.5,35.9,1.1,3.1,35.1,0.2,0.5,33.3,0.4,1.5,1.9,1.3,0.3,0.1,1.0,1.8,2026-02-25T13:50:31.516465,2025
42,Kiana Williams,1,8.0,6.0,2.0,7.0,28.6,2.0,6.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,2026-02-25T13:50:31.516465,2025
43,Kate Martin,12,9.9,5.9,2.4,6.5,37.2,0.5,3.2,15.8,0.3,0.6,42.9,0.8,2.7,3.4,1.0,0.3,0.2,1.0,2.0,2026-02-25T13:50:31.516465,2025
44,Saniya Rivers,11,8.5,5.2,2.1,6.7,31.1,0.4,2.0,18.2,0.4,0.5,66.7,0.4,2.0,2.4,1.1,0.9,1.1,1.4,1.6,2026-02-25T13:50:31.516465,2025
45,Dana Evans,1,7.0,5.0,2.0,7.0,28.6,1.0,5.0,20.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2026-02-25T13:50:31.516465,2025
46,Haley Jones,3,6.0,5.0,2.3,4.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,1.0,1.3,1.3,0.0,0.3,0.3,1.7,2026-02-25T13:50:31.516465,2025
47,Li Yueru,12,5.5,4.7,1.7,3.8,44.4,0.2,1.1,15.4,0.6,0.6,100.0,0.8,2.0,2.8,0.3,0.2,0.3,0.3,1.3,2026-02-25T13:50:31.516465,2025
