PERSON_ID,DISPLAY_LAST_COMMA_FIRST,PLAYER_NAME,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,IS_NBA_ASSIGNED,NBA_ASSIGNED_TEAM_ID,GAMES_PLAYED_FLAG,POSITION,HEIGHT,WEIGHT,SEASON_EXP,BIRTHDATE,COUNTRY,SCHOOL
203831,"Achonwa, Natalie",Natalie Achonwa,1,2015,2023,natalie_achonwa,natalie_achonwa,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Forward,6-3,198,9,1992-11-22T00:00:00,Canada,Notre Dame
1630153,"Agnew, Jaylyn",Jaylyn Agnew,1,2020,2021,jaylyn_agnew,jaylyn_agnew,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,5-11,149,2,1997-07-21T00:00:00,USA,Creighton
1630093,"Alarie, Bella",Bella Alarie,1,2020,2022,bella_alarie,bella_alarie,1611661321,Dallas,Wings,DAL,wings,wings,0,0,Y,Center-Forward,6-4,190,3,1998-04-23T00:00:00,USA,Princeton
1628263,"Allen, Lindsay",Lindsay Allen,1,2017,2025,lindsay_allen,lindsay_allen,1611661325,Indiana,Fever,IND,fever,fever,0,0,Y,Guard,5-8,145,7,1995-03-20T00:00:00,USA,Notre Dame
204296,"Allen, Rebecca",Rebecca Allen,1,2015,2025,rebecca_allen,rebecca_allen,1611661313,New York,Liberty,NYL,liberty,liberty,0,0,Y,Forward-Guard,6-2,162,9,1992-11-06T00:00:00,Australia,Melbourne
1627687,"Alleyne, Jillian",Jillian Alleyne,1,2019,2021,jillian_alleyne,jillian_alleyne,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Center-Forward,6-2,193,3,1994-09-08T00:00:00,USA,Oregon
1628878,"Atkins, Ariel",Ariel Atkins,1,2018,2025,ariel_atkins,ariel_atkins,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Guard,5-10,167,7,1996-07-30T00:00:00,USA,University of Texas at Austin
1627671,"Banham, Rachel",Rachel Banham,1,2016,2025,rachel_banham,rachel_banham,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Guard,5-10,181,9,1993-07-15T00:00:00,USA,Minnesota
1628881,"Billings, Monique",Monique Billings,1,2018,2025,monique_billings,monique_billings,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-4,192,7,1996-05-02T00:00:00,USA,UCLA
100720,"Bird, Sue",Sue Bird,1,2002,2022,sue_bird,sue_bird,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Guard,5-9,150,19,1980-10-16T00:00:00,USA,Connecticut
201886,"Bonner, DeWanna",DeWanna Bonner,1,2009,2025,dewanna_bonner,dewanna_bonner,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard-Forward,6-4,140,15,1987-08-21T00:00:00,USA,Auburn
204325,"Bradford, Crystal",Crystal Bradford,1,2015,2025,crystal_bradford,crystal_bradford,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-0,170,2,1993-11-01T00:00:00,USA,Central Michigan
202638,"Breland, Jessica",Jessica Breland,1,2011,2021,jessica_breland,jessica_breland,1611661325,Indiana,Fever,IND,fever,fever,0,0,Y,Forward,6-2,166,9,1988-02-23T00:00:00,USA,North Carolina
1628882,"Brown, Lexie",Lexie Brown,1,2018,2025,lexie_brown,lexie_brown,1611661329,Chicago,Sky,CHI,sky,sky,0,0,Y,Guard,5-9,162,7,1994-10-27T00:00:00,USA,Duke
204332,"Burdick, Cierra",Cierra Burdick,1,2015,2021,cierra_burdick,cierra_burdick,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Forward,6-2,172,5,1993-09-30T00:00:00,USA,Tennessee
1629568,"Burke, Kennedy",Kennedy Burke,1,2019,2025,kennedy_burke,kennedy_burke,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Guard-Forward,6-1,182,5,1997-02-14T00:00:00,USA,UCLA
202633,"Cambage, Liz",Liz Cambage,1,2011,2022,liz_cambage,liz_cambage,1611661319,Las Vegas,Aces,LVA,aces,aces,0,0,Y,Center,6-9,216,6,1991-08-18T00:00:00,Australia,Bulleen
1628886,"Canada, Jordin",Jordin Canada,1,2018,2025,jordin_canada,jordin_canada,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Guard,5-6,135,7,1995-08-11T00:00:00,USA,UCLA
